nsn,candidate_mpn,manufacturer,digikey_pn,attribute_name,raw_name,raw_value,value_num,value_min,value_max,uom,value_text,parse_status,source
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,resistance,Resistance,10 kOhms,10000.0,,,ohm,10 kOhms,number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,features,Features,Automotive AEC-Q200,,,,,AUTOMOTIVEAECQ200,text,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,ratings,Ratings,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,size_dimension,Size / Dimension,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",,,,,0063LX0031W160MMX080MM,text,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,height_seated_max,Height - Seated (Max),"0.022"" (0.55mm)",,,,,0022055MM,text,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,ERA-3AEB103V,Panasonic Industry,P10KDBTR-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,resistance,Resistance,120 Ohms,120.0,,,ohm,120 Ohms,number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,features,Features,Automotive AEC-Q200,,,,,AUTOMOTIVEAECQ200,text,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,ratings,Ratings,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,size_dimension,Size / Dimension,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",,,,,0063LX0031W160MMX080MM,text,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,height_seated_max,Height - Seated (Max),"0.022"" (0.55mm)",,,,,0022055MM,text,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,ERA-3AEB121V,Panasonic Industry,P120DBTR-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,resistance,Resistance,12 kOhms,12000.0,,,ohm,12 kOhms,number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,features,Features,Automotive AEC-Q200,,,,,AUTOMOTIVEAECQ200,text,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,ratings,Ratings,-,,,,,,empty,digikey
